query_string,candidate_string,old_match,match
Mid-America Christian University,Mid-America Christian Univeristy,0,1
Cornerstone Government Affairs obo NIKE Inc,Cornerstone Government Affairs obo Citigroup Inc,0,
Georgia Electric Membership Corporation,Georgia Electric Membership Corp,0,1
MERIDIAN MEDICAL TECHNOLOGIES INC,MERIDIAN MEDICAL TECHNOLOGIES IN,0,1
FOREST LANDOWNERS TAX COUNCIL,FOREST LANDOWNERS ASSOCIATION,0,
International Food Additive Council,International Food Additives Council,0,1
Northern Indiana Commuter Transit Dist,Northern Indiana Commuter Transp Dist,0,1
ENVIRONMENTAL ACTION GROUP,ENVIRONMENTAL TECHNOLOGIES CORP,0,
Forest Landowners Association,Forest Landowners Tax Council,0,
Pacific Coast Visions,"Pacific Communities, Inc.",0,
"Cornerstone Government Affairs obo NIKE, Inc.",Cornerstone Government Affairs obo Citigroup Inc,0,
Goodwill Industries of Southern Arizona,Goodwill Industries/Central Indiana,0,
National Rural Electric Cooperatives Association,National Rural Electric Cooperative Association,0,1
BLUE CROSS BLUE SHIELD OF MINNESOTA,BLUE CROSS BLUE SHIELD OF FLORIDA,0,
Environmental Consulting.,Environmental Consultancy,0,
SACRAMENTO COUNTY AIRPORT SYSTEM,"Sacramento County, CA",0,
CAMARA NACIONAL DE LA INDUSTRIA PESQUERA,CAMARA NACL DE LA INDUSTRIA PESQUERA Y AQUACULTURA,0,1
GENERAL CHEMICAL SODA ASH,GENERAL CHEMICAL GROUP INC,0,1
CALIFORNIA FORESTRY ASSN,CALIFORNIA FORESTRY ASSOC,0,1
California Forestry Assoc,California Forestry Assn,0,1
Louis Dreyfus Corporation,Louis Dreyfus Commodities,0,1
AMERICAN SOCIETY  FOR INTERVENTIONAL PAIL PHYSICIANS,AMERICAN SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,0,
Alliance for Safe Online Pharmacies,Alliance for Safe Injection Practices,0,
Cornerstone Government Affairs obo Smartronix,Cornerstone Government Affairs obo Stupp Brothers Inc,0,
Engineering Systems Inc.,Engineering Seismology Group Canada Inc.,0,
"Office of the Governor, State of Colorado",Office of the Governor Coastal Activity,0,
FEDERAL HOME LOAN BANK OF CINCINNATI,FEDERAL HOME LOAN BANK OF CHICAGO,0,
Veolia Energy Trenton L.P,Veolia Energy North America,0,1
"New England Village, Inc.",New England Financial,0,
Children's Hospital and Research Center,Children's Hospital Boston,0,
ALLIED PRODUCTS CORP,ALLIED PRODUCTS CORP DE,0,1
Mountain View Power Ptnrs LLC,Mountain View Power Prtnrs LLC,0,1
Marathon Petroleum Timor Gap East Ltd,Marathon Petroleum Timor Gap West Ltd,0,1
CHILDRENS HOSPITAL OF OAKLAND,CHILDRENS HOSPITAL & HEALTH CENTER SAN DIEGO,0,
Goodwill Industries of Acadiana,Goodwill Industries/Sacramento Valley,0,
BLUE CROSS BLUE SHIELD OF ARIZONA,BLUE CROSS BLUE SHIELD OF SOUTH CAROLINA,0,
NATIONAL INDUSTRIAL TRANSPORTATION LEAGUE,NATIONAL INDUSTRIAL SAND ASSN,0,
ALLIANCE FOR AMERICAN INNOVATION,ALLIANCE FOR AMERICAN MANUFACTURING,0,
Eastman Chemical Co-TN Ops,Eastman Chemical Company Texas Operations,0,1
First American Bulk Carrier Corporation,First American Health Concepts,0,
AMERICAN SOCIETY OF INTERNAL MEDICINE,AMERICAN SOCIETY OF INTERIOR DESIGNERS,0,
JOHN HANCOCK LIFE INSURANCE CO,JOHN HANCOCK LIFE INSUANCE CO,0,1
Small Business Exporters Association,Small Business Benefits Preservation Clt,0,
FEDERAL HOME LOAN BANK OF ATLANTA,FEDERAL HOME LOAN BANK OF BOSTON,0,
Boys & Girls Club of Santa Clarita Valley,Boys & Girls Town of Missouri,0,
L A TAXI COOPERATIVE INC D B A L A YELLOW CAB CO,L A TAXI COOPERATIVE INC DBA L A YELLOW CAB CO,0,1
Renewable Energy Alternatives LLC,"RENEWABLE ENERGY GROUP, INC.",0,
AMERICAN CANCER SOCIETY -- CANCER ACTION NETWORK,American Cancer Society/Great West Div,0,1
Western Massachusetts Elec Co,Western Massachusetts Electric Co,0,1
Pennsylvania Municipal Authorities Association,Pennsylvania Municipal Authorities Assn,0,1
BLUE CROSS AND BLUE SHIELD OF MINNESOTA,BLUE CROSS AND BLUE SHIELD OF FLORIDA INC,0,
PHILADELPHIA HOLOCAUST REMEMBRANCE FOUNDATION,PHILADELPHIA PARKING AUTHORITY,0,
Alliance for Employee Benefit Cooperatives,Alliance for Abundant Food & Energy,0,
ELECTRICAL DISTRICT NO. 8,ELECTRICAL DISTRICT NO. 3,0,
SILICON ECONOMICS,Silicon Valley Manufacturing Group,0,
"New England Tissue Issue, Inc.",New England Business Service Inc.,0,
"EDUCATIONAL SERVICES OF AMERICA, INC.",Educational Testing Service,0,
Enel Green Power NA Inc,Enel Green Power S p A,0,1
Alliance for Abundant Food and Energy,Alliance for Employee Benefit Co-Ops,0,
Pharmaceutical Care Mgmt Assn,Pharmaceutical Care Management Assn,0,1
TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT,TRI-COUNTY METROPOLITAN TRANSIT DISTRICT,0,1
General Electric Aviation,General Electric Capital Svc,0,1
AMERICAN CANCER SOCIETY-- CANCER ACTION NETWORK,American Cancer Society/Great West Div,0,1
Goodwill Industries Int'l,Goodwill Industries/Manasota,0,1
Riverside Health System,Riverside Health Systems,0,1
American Association of Responsible Auto Lenders,American Assn of Tissue Banks,0,
Advanced Technology Corporation,Advanced Technology Institute,0,
JEFFERSON COUNTY DRAINAGE DISTRICT NO. 7,JEFFERSON COUNTY WATERWAY/NAVIG DISTRICT,0,
MINNESOTA DEPT OF NATURAL RESOURCES,MINNESOTA SUPER COMPUTER CENTER/NETWORK COMPUTING SERVICES INC,0,
AMERICAN COLLEGE OF OSTEOPATHIC SURGEONS,American College of Radiology,0,
Alliance for The Great Lakes,Alliance for Reform & Democracy in Asia,0,
"Environmental Incentives, LLC",Environmental Industry Assns,0,
ENVIRONMENTAL WORKING GROUP,Environmental Disposal Systems,0,
CALIFORNIA INDEPENDENT PETROLEUM ASSN,CALIFORNIA INDEPENDENT BANCORP,0,
Orlando Power Gen I Inc,Orlando Power Generation I LLC,0,1
Valero Refining Co New Jersey,Valero Refining Co - New Jersey,0,1
CHILDRENS HOME OF PITTSBURGH,Children's Healthcare of Atlanta,0,
Alliant Energy Integ Ser,Alliant Energy Corp,0,1
"Goodwill Industries, Inc.",Goodwill Industries/Manasota,0,1
Veolia Energy Trenton L P,Veolia Energy North America,0,1
Boise Cascade Corporation,Boise Cascade Company,0,1
FIRST CITIZENS BANCSHARES,FIRST CITIZENS BANC CORP,0,1
"Ballistic Recover Systems, Inc.",Ballistic Recovery Systems Inc,0,1
Duke Energy Moss Landing LLC,Duke Energy et al,0,1
ELECTRICAL DISTRICT NO 8,ELECTRICAL DISTRICT NO. 3,0,
"ACCESS INTEGRATED NETWORKS, INC",ACCESS INTEGRATED TECHNLGS INC,0,
COALITION FOR A COMPETITIVE PHARMACEUTICAL MARKET,COALITION FOR CMPTV ACCESS TO CONTENT,0,
CALIFORNIA ACADEMY OF SCIENCES,CALIFORNIA AGRICULTURAL ISSUES FORUM,0,
GOODWILL INDUSTRIES OF SOUTHERN ARIZONA INC,GOODWILL INDUSTRIES OF CENTRAL INDIANA INC,0,
PACIFIC NORTHWEST RESEARCH INSTITUTE,PACIFIC NORTHWEST BANCORP,0,
MidAmerican Energy Holdings Company,MIDAMERICAN ENERGY HLDGS CO NEW,0,1
Mortgage Research Corp,Mortgage Research Center,0,
"Advanced Search Laboratories, Inc.",ADVANCED CERAMICS RESEARCH INC,0,
CENTER FOR DISABILITY SERVICES,Center for Justice & Democracy,0,
International Health Racquet & Sportsclub Association,International Health Racquet and Sports Club Association,0,1
COALITION FOR AFFORDABLE & RELIABLE HEALTHCARE,COALITION FOR AFFORDABLE HEALTH COVERAGE,0,
ALLIANCE FOR COMMUNITY HEATLH PLANS,Alliance for Natural Health USA,0,
CHILDRENS HOSPITAL OF THE KINGS DAUGHTERS,CHILDRENS HOSPITAL & HEALTH CENTER SAN DIEGO,0,
Orange County Employees Association,ORANGE COUNTY BLDG/CONSTR TRADES COUNCIL,0,
ALLIANCE FOR LUPUS RESEARCH,Alliance for Digital Progress,0,
SunCoke Energy Partners GP LLC,SunCoke Energy Partners L P,0,1
Alliance for a Clean Environment,Alliance for Catholic Education,0,
Alliance for Human Research Protection ,Alliance for Charitable Reform,0,
Environmental Protection Division,ENVIRONMENTAL POWER CORPORATION,0,
WASHINGTON REFUSE AND RECYCLING ASSN,WASHINGTON REFUSE & RECYCLING ASSOCIATION,0,1
AMERICAN ACADEMY OF OTOLARYNGOLOGY,AMERICAN ACADEMY OF COSMETIC SURGERY,0,
ALLIANCE FOR CARE AT THE END OF LIFE,Alliance for a Stronger FDA,0,
GOODWILL INDUSTRIES OF NORTHEAST IOWA INC,GOODWILL INDUSTRIES OF CENTRAL INDIANA INC,0,
Environmental Control,ENVIRONMENTAL LAND TECHNOLOGY LTD,0,
BLUE CROSS BLUE SHIELD OF MAINE,BLUE CROSS BLUE SHIELD OF SOUTH CAROLINA,0,
Evergreen Soaring Club,Evergreen International Aviation,0,
CONNECTICUT HISTORICAL SOCIETY & MUSEUM,CONNECTICUT PUBLIC BROADCASTING,0,
ENERGY & ENVIRONMENT TWENTY ONE INC,Energy & Environmental Building Assn,0,
American Physical Therapy Assoc,American Physical Therapy Assn,0,1
American Physical Theapy ASSN,American Physical Therapy Assn,0,1
CMS Generation Operating Co II,CMS GENERATION OPERATING LLC,0,1
TRI-COUNTY METROPOLITAN TRANSPORTATION DIST,TRI-COUNTY METROPOLITAN TRANSIT DISTRICT,0,1
"JEFFERSON COUNTY, TX",JEFFERSON COUNTY AL,0,
JEFFERSON PILOT FINANCIAL,Jefferson County CO,0,
AMERICAN CANCER SOCIETY SOUTH ATLANTIC DIVISION INC,AMERICAN CANCER SOCIETY CALIFORNIA DIVISION INC,0,1
CITY OF GREENVILLE SC,"CITY OF GREENVILLE, NC",0,
Access Community Health Centers,Access Community Health Network,0,
Children's Hospital Medical Center of Akron,Children's Hospital Medical Center Fdtn,0,
ROCKY MOUNTAIN DEVELOPMENT COUNCIL,ROCKY MOUNTAIN WIND POWER,0,
WESTERN ASBESTOS SETTLEMENT TRUST,Western States Petroleum Assn,0,
Power Resources Coop,POWER RESOURCES INC,0,
American Municipal Power,AMERICAN MUNICIPAL INC PORT INC,0,
Reclamation District 2140,Reclamation District 1000,0,
AMERICAN BANKERS ASSOCIATION HSA COUNCIL,AMERICAN BANKERS ASSN CARD POLICY COUNCIL,0,
Veolia Energy Trenton LP,Veolia Energy North America,0,1
FEDERAL HOME LOAN BANK OF PITTSBURGH,FEDERAL HOME LOAN BANK OF BOSTON,0,
PARTNERSHIP FOR CHILDREN,Partnership for Customer Choice,0,
ALLIANCE FOR COMMUNITY HEALTH PLANS,Alliance for Natural Health USA,0,
"Community Catalyst Action Fund, Inc.",Community Orgs Action & Main St Alliance,0,
FOUNDATION FOR ENVIRONMENTAL & ECONOMIC PROGRESS,Foundation for Government Accountability,0,
UNIVERSITY OF CALIFORNIA AT LOS ANGELES,UNIVERSITY OF CALIFORNIA/SAN FRANCISCO,0,
ALLIANCE FOR I-69 TEXAS,Alliance for Animal Genome Research,0,
GRANT COUNTY PUBLIC UTILITY DISTRICT,GRANT COUNTY PUBLIC UTILITY DIST NO 2,0,1
Industrial Power Generating Company LLC,Industrial Power Generating Corp.,0,1
Environmental & Technical Director,Environmental Business Action Coalition,0,
BON SECOURS CHARITY HEALTH SYSTEM,Bon Secours Canterbury,0,
First Citizens Bank & Trust,First Citizens Bancshares,0,
LOCKHEED MARTIN AERONAUTICS CO,Lockheed Martin Hanford,0,1
"CHILDRENS HOSPITAL, BOSTON",Children's Hospital Assn of Texas,0,
Sunflower Electric Power Corporation,Sunflower Electric Cooperative,0,1
Camara Nacional de la Industria Tequilera,Camara Nacional de la Industria Pesquera,0,
"Westfield, LLC","Westfield, IN",0,
BLUE CROSS BLUE SHIELD OF MICHIGAN,BLUE CROSS BLUE SHIELD OF FLORIDA,0,
"Marathon Petroleum Cap Bon, Ltd.",Marathon Pharmaceuticals LLC,0,
PROGRESSIVE BUSINESS PUBLICATION,PROGRESSIVE SOLUTIONS,0,
MORTGAGE INSURANCE COS OF AMERICA,Mortgage Investors Corp,0,
Continental Title company,Continental Title Co,0,1
EXCEL ENERGY GROUP,EXCEL ENERGY CORP,0,1
ROCKY MOUNTAIN RAIL AUTHORITY,"Rocky Mountain Power, Inc.",0,
Halliburton Energy Services Incorporated,Halliburton Energy Services,0,1
Alliance for Prudent Use of Antibiotics,Alliance for Business Investment,0,
CENTER FOR MARINE CONSERVATION,Center for Management & Technology,0,
BLUE CROSS BLUE SHIELD OF MN,Blue Cross/Blue Shield of Maryland,0,
Alliance for Security & Trade,ALLIANCE FOR RADON REDUCTION,0,
CALIFORNIA FIG ADVISORY BOARD,California Wetfish Producers Assn,0,
FLORIDA KEYS AQUEDUCT AUTHORITY,Florida Office/Tourism/Trade/Econ Devel,0,
Building and Construction Trades Council of Greater New York,Building and Construction Trades Department AFL-CIO,0,
BLUE CROSS AND BLUE SHIELD UNITED OF WISCONSIN,BLUE CROSS BLUE SHIELD OF FLORIDA,0,
"Western Fuels Wyoming, Inc.",Western Fuels-Wyoming Inc,0,1
Environmental Work Group,Environmental Disposal Systems,0,
Banc of America Securities LLC,"Banc of America Agency, LLC",0,
ALLIANCE FOR COMPETITIVE ELECTRICITY,Alliance for I-69 Texas,0,
ALLIANCE FOR AMERICAN ADVERTISING,ALLIANCE FOR AMERICAN MANUFACTURING,0,
"Environmental Health Network, Inc.","Environmental Protection Services, Inc.",0,
"CHILDREN'S HOSPITAL, BOSTON",CHILDREN'S HOSPITAL ASSOCIATION OF TEXAS,0,
ALLIANCE FOR INVESTMENT TRANSPARENCY,Alliance for Radon Reduction,0,
American Coalition for Free Trade in Tires,American Coalition for Safe & Secure ID,0,
ENERGY & ENVIRONMENT TWENTY-ONE INC,Energy & Environmental Building Assn,0,
MIDAMERICAN ENERGY HOLDINGS CO,MIDAMERICAN ENERGY HLDGS CO NEW,0,1
RIVERSIDE HEALTH CARE,Riverside Health Systems,0,
PHILADELPHIA HOUSING AUTHORITY,PHILADELPHIA CONSOLIDATED HLG CO,0,
Three Rivers College,Three Rivers Holdings  ,0,
GOODWILL INDUSTRIES OF NORTH FLORIDA INC,Goodwill Industries/Metro Chicago,0,
SOUTHERN SCRAP MATERIAL CO L L C,SOUTHERN SCRAP MATERIAL CO L L C -,0,1
Boys & Girls Clubs of Cleveland,Boys & Girls Club/Chattahoochee Valley,0,
Phillips 66 Capital III,Phillips 66 Capital II,0,1
Environmental Health & Safety,Environmental Systems Products Inc,0,
CENTER FOR DEVELOPMENTAL DISABILITIES INC,CENTER FOR DISEASE DETECTION,0,
NEXT GENERATION LIGHTING INDUSTRY ALLIANCE,NEXT GENERATION NUCLEAR PLANT IND ALLIANCE,0,
ALLIANCE FOR JUSTICE,Alliance for Sustainable Fish,0,
CONSOLIDATED WATER PWR CO,CONSOLIDATED WATER CO LTD,0,
ALLIANCE FOR CHILDREN AND FAMILIES,Alliance for Connecting First Responders,0,
American Business Defense Council,American Business Development Group,0,
Alliance For Human Research Protection ,Alliance for Charitable Reform,0,
CALIFORNIA FORESTRY ASSOCIATION,CALIFORNIA FORESTRY ASSOC,0,1
Goodwill Industries of the Southern Rivers,Goodwill Industries/Central Indiana,0,
FINANCIAL EXECUTIVES INSTITUTE,FINANCIAL EXECUTIVES INTERNATIONAL,0,
BLUE CROSS & BLUE SHIELD OF SOUTH CAROLINA,BLUE CROSS AND BLUE SHIELD OF FLORIDA INC,0,
CHILDRENS HOSPITAL & REGIONAL MEDICAL CENTER,CHILDRENS HOSPITAL & HEALTH CENTER SAN DIEGO,0,
ENVIRONMENTAL SYSTEMS PRODUCTS,ENVIRONMENTAL PASTEURIZATION LLC,0,
AMERICAN SOCIETY FOR REPRODUCTIVE MEDICINE,AMERICAN SOCIETY FOR DERMATOLOGIC SURGERY ASSOCIATION,0,
COMPREHENSIVE MARKETING INC,COMPREHENSIVE MARKET ACCESS COALITION,0,
ALLIANCE FOR BIOSECURITY,Alliance for Clean Coal,0,
WOMAN'S OPPORTUNITIES RESOURCE CENTER,Woman's Hospital Foundation,0,
ST VINCENT MEDICAL CENTERS,ST VINCENT MEDICAL GROUP,0,
FLORIDA KEYS AQUEDUCT AUTHORTIY,Florida Office/Tourism/Trade/Econ Devel,0,
ALLIANCE FOR REASONABLE REGULATION OF INSECTICIDES,Alliance for American Advertising,0,
Bipartisan Policy Center Action,Bipartisan Policy Center,0,1
Center for Advancing Parnerships in Education,Center For Advanced Illness Coord Care,0,
Saluda River Electric Coop Inc,Saluda River Electric Co-Op,0,1
CITY OF DES MOINES IOWA,CITY OF DES MOINES WA,0,
FEDERAL HOME LOAN BANK OF SAN FRANCISCO,Federal Home Loan Mortgage Corporation,0,
ALLIANCE FOR TELECOMMUNICATIONS INDUSTRY SOLUTIONS,Alliance for Investment Transparency,0,
BROADCAST.COM,Broadcast Music Inc,0,
Environmental Systems Corporation,Environmental Systems Products Inc,0,
WESTFIELD LLC,WESTFIELD IN,0,
Conservation Services Group,Conservation Services Inc,0,
LIVINGSTON GROUP L L C THE COUNCIL FOR A DEMOCRATIC IRAN,LIVINGSTON GROUP LLC ON BEHALF TENCATE ADVANCED COMPOSITES USA,0,
ROCKY MOUNTAIN ELK FOUNTAIN,Rocky Mountain Development Council,0,
Optimal Fitness,Optimal Group,0,
First National Bankers Bank,First National Bancshares Inc,0,
ALLIANCE FOR DIGITAL PROGRESS,ALLIANCE FOR CONSUMER EDUCATION,0,
BIPARTISAN POLICY CENTER,BIPARTISAN POLICY CENTER ACTION,0,
WESTFIELD INC,WESTFIELD IN,0,
NXP Semiconductors,NXP Semiconductors USA,0,1
GREATER ORLANDO AIRPORT AUTHORITY,GREATER ORLANDO AVIATION AUTHORITY FL,0,1
"GOODWILL INDUSTRIES OF NORTH FLORIDA, INC",Goodwill Industries/Metro Chicago,0,
AMERICAN SOCIETY OF COMPOSERS AUTHORS AND PUBLISHERS,American Society of Plastic Surgeons,0,
Visiting Nurse Association of America,Visiting Nurse Assn/Manchester & S NH,0,
ENVIRONMENTAL INDUSRTY ASSOCIATIONS,Environmental and Life Support Technology Inc,0,
Renewable Energy,Renewable Energy Group,0,
FEDERAL HOME LOAN BANK OF TOPEKA,FEDERAL HOME LOAN BANK OF CHICAGO,0,
EMPIRE DISTRIBUTORS,EMPIRE DISTRICT ELECTRIC,0,
MILITARY OFFICERS ASSOCIATION OF AMERICA,Military Heritage Foundation,0,
Environmental Defense AV53,Environmental Defense Action Fund,0,
General Electric Capital BAFGp,General Electric Healthcare,0,1
Community Catalyst Action Fund Inc,Community Orgs Action & Main St Alliance,0,
New England Environmental Voters,New England Education Loan Marketing,0,
Public Lands Conservancy,Public Lands Council,0,
PUBLIC INTEREST PROJECTS ACTION FUND,PUBLIC INTEREST PROJECTS,0,
Entergy Nuclear Palisades LLC,Entergy Nuclear Operations Inc,0,1
AMERICAN MEDICAL TECHNOLOGISTS,AMERICAN MEDICAL TECHNOLOGIES IN,0,
ALLEGHENY COUNTY SANITARY AUTHORITY,ALLEGHENY COUNTY AIRPORT AUTHORITY,0,
GENERAL DYNAMICS CORPORATION,GENERAL DYNAMICS ELECTRIC BOAT,0,
NORTH CAROLINA ASSN OF ELECTRIC COOPERATIVES,NORTH CAROLINA ASSOCIATION OF ELECTRIC COOPERATIVES,0,1
"ORANGE COUNTY, CALIFORNIA",Orange County School Board,0,
Industrial Power Services Corp,Industrial Power Generating Corp.,0,
TAX PROBLEM RESOLUTION SERVICE COALITION,TAX PROBLEM RESOLUTION SERVICES CLTN,0,
