string0,string1,impact,score,source,notes
Fidelity Investments,FIDELITY MANAGEMENT & RESEARCH,301,1,lobbyingClients_training.csv,
NATL SOFT DRINK ASSN,National Soft Drink Assn,301,1,lobbyingClients_training.csv,
BOYS & GIRLS CLUB OF GREATER KANSAS CITY,Boys & Girls Clubs/Greater Kansas City,300,1,lobbyingClients_training.csv,
National Utility Contractors Association,National Utility Contractors Assn,299,1,lobbyingClients_training.csv,
Martin Marietta Materials,MARTIN MARIETTA AGGREGATES,297,1,lobbyingClients_training.csv,
Revlon Consumer Products Corporation,Revlon Inc,289,1,lobbyingClients_training.csv,
USEC,US Enrichment Corp,288,1,lobbyingClients_training.csv,
American Public Health Assn,AMERICAN PUBLIC HEALTH ASSOCIATION,288,1,lobbyingClients_training.csv,
Echostar Communications,ECHOSTAR,286,1,lobbyingClients_training.csv,
American Society of Anesthesiologists,AMERICAN SOCIETY FOR ANESTHESIOLOGISTS,282,1,lobbyingClients_training.csv,
NATL AIR TRANSPORTATION ASSN,National Air Transportation Assn,280,1,lobbyingClients_training.csv,
Central Piedmont Community College,CENTRAL PIEDMONT COMMUNITY COLLEGE FOUNDATION,279,1,lobbyingClients_training.csv,
University of Missouri,UNIV OF MISSOURI,271,1,lobbyingClients_training.csv,
INTL ASSN OF FIRE CHIEFS,International Assn of Fire Chiefs,264,1,lobbyingClients_training.csv,
Nestle USA,"NESTLE HOLDING, INC",264,1,lobbyingClients_training.csv,
George Washington University,GEORGE WASHINGTON UNIVERISTY,261,1,lobbyingClients_training.csv,
GREAT LAKES SCIENCE CENTER IN CONJUNCTION WITH THE HARBOR HERITAGE SOCIETY,Harbor Heritage Society,260,0,lobbyingClients_training.csv,
UNIVERSITY OF NORTH CAROLINA AT WILMINGTON,University of North Carolina/Wilmington,256,1,lobbyingClients_training.csv,
NATL LEAGUE OF CITIES,National League of Cities,255,1,lobbyingClients_training.csv,
AMERICAN ASSOCIATION OF UNIVERSITY WOMEN,American Assn of University Women,254,1,lobbyingClients_training.csv,
VHA INC,Vizient Inc,253,0,lobbyingClients_training.csv,VHA merged with UHC to form Vizient in 2015
Florida A&M University,Florida Agricultural and Mechanical University,252,1,lobbyingClients_training.csv,
Tyco International,TYCO,252,1,lobbyingClients_training.csv,
SPINA BIFIDA ASSOCIATION OF AMERICA,Spina Bifida Assn of America,252,1,lobbyingClients_training.csv,
Karmanos Cancer Institute,"Energizer Holdings,Inc.",252,0,lobbyingClients_training.csv,
Johns Hopkins Hospital,JOHNS HOPKINS,250,1,lobbyingClients_training.csv,
ATOFINA Chemicals,"TOTAL PETROCHEMICALS USA, INC.",246,1,lobbyingClients_training.csv,Renamed in 2004
American Academy of Emergency Medicine,EMERGENCY NURSES ASSN,246,0,lobbyingClients_training.csv,
Bazelon Center for Mental Health Law,JUDGE DAVID L BAZELON CENTER FOR MENTAL HEALTH LAW,240,1,lobbyingClients_training.csv,
National Shooting Sports Foundation,NSSF,238,1,lobbyingClients_training.csv,
Osram Sylvania,OSRAM SYLVANIA PRODUCTS,234,1,lobbyingClients_training.csv,
Chlorine Institute,CHLORINE INST,230,1,lobbyingClients_training.csv,
Christiana Care Health System,CHRISTIANA CARE HEALTH SERVICES,230,1,lobbyingClients_training.csv,
Coalition of Service Industries,Coalition of Services Industries,228,1,lobbyingClients_training.csv,
WILMER HALE,"Wilmer, Cutler & Pickering",225,1,lobbyingClients_training.csv,Merged in 2004
WILMER HALE,WilmerHale LLP,225,1,lobbyingClients_training.csv,
WASHINGTON OPERA,Washington National Opera,224,1,lobbyingClients_training.csv,
ADELANTE,Adelante Development Center,224,1,lobbyingClients_training.csv,
"GREATER NEW ORLEANS, INC",Greater New Orleans Development Foundation,224,1,lobbyingClients_training.csv,
KIPP,Knowledge Is Power Program,222,1,lobbyingClients_training.csv,
Mitsubishi Electric & Electronics USA,MITSUBISHI ELECTRIC US INC,222,1,lobbyingClients_training.csv,
Yale-New Haven Health Systems,YALE NEW HAVEN HEALTH SYSTEM,216,1,lobbyingClients_training.csv,
Washington Hospital Center,WASHINGTON HOSPITAL HEALTHCARE SYSTEM,212,1,lobbyingClients_training.csv,
Hilton Worldwide,HILTON,205,1,lobbyingClients_training.csv,
Starbucks Corp,STARBUCKS COFFEE CORP,205,1,lobbyingClients_training.csv,
NATL UTILITY CONTRACTORS ASSN,National Utility Contractors Assn,203,1,lobbyingClients_training.csv,
North Dakota State University,NORTH DAKOTA STATE UNIV,200,1,lobbyingClients_training.csv,
EISENHOWER EXCHANGE FELLOWSHIPS,Eisenhower Fellowships,198,1,lobbyingClients_training.csv,
National Group,NATL GROUP,198,1,lobbyingClients_training.csv,
"Panasonic, formerly SANYO ELECTRIC, LTD",Sanyo Electric Co,196,1,lobbyingClients_training.csv,
BRAIN INJURY ASSOCIATION,Brain Injury Assn,195,1,lobbyingClients_training.csv,
R J REYNOLDS,RJ Reynolds Tobacco,194,1,lobbyingClients_training.csv,
GOODWILL INDUSTRIES OF SOUTHERN NEVADA,Goodwill Industries/Southern Nevada,192,1,lobbyingClients_training.csv,
DaimlerChrysler,DAIMLER-BENZ,191,1,lobbyingClients_training.csv,
Mitsubishi Electric America,MITSUBISHI ELECTRONICS AMERICA,190,1,lobbyingClients_training.csv,
BOATUS,Boat US,190,1,lobbyingClients_training.csv,
America's Health Insurance Plans,AMERICAN'S HEALTH INSURANCE PLANS,190,1,lobbyingClients_training.csv,
Mitsubishi Motors R&D America,MITSUBISHI MOTORS R & D OF AMERICA,189,1,lobbyingClients_training.csv,
Universal Corp,UNIVERSAL MUSIC GROUP,188,0,lobbyingClients_training.csv,
National Assn of State Credit Union Supervisors,NATIONAL ASSOCIATION OF STATE CREDIT UNION SUPERVISORS,180,1,lobbyingClients_training.csv,
Fannie Mae,FANNIEMAE,180,1,lobbyingClients_training.csv,
United States Association of Importers of Textiles and Apparel,US Assn of Importers of Textiles/Apparel,180,1,lobbyingClients_training.csv,
Watson Wyatt & Co,WATSON WYATT WORLDWIDE CO,180,1,lobbyingClients_training.csv,
NATL OILSEED PROCESSORS ASSN,National Oilseed Processors Assn,177,1,lobbyingClients_training.csv,
Summa Health System,Summa Health,176,1,lobbyingClients_training.csv,
IGT,International Game Technology,176,1,lobbyingClients_training.csv,
WOMEN & INFANTS HOSPITAL OF RHODE ISLAND,Women & Infants Hospital,176,1,lobbyingClients_training.csv,
BF Goodrich,BFGOODRICH CO,171,1,lobbyingClients_training.csv,
"Talecris Biotherapeutics, Inc.",Grifols Inc,171,0,lobbyingClients_training.csv,Talecris aquired by Grifols in 2011
Touro College,TOURO UNIVERSITY,171,1,lobbyingClients_training.csv,
Generic Pharmaceutical Assn,GENERIC PHARMACEUTICAL INDUSTRY ASSN,169,1,lobbyingClients_training.csv,
Infectious Diseases Society of America,INFECTIOUS DISEASE SOCIETY OF AMERICA,168,1,lobbyingClients_training.csv,
Hilton Hotels,HILTON,168,1,lobbyingClients_training.csv,
SAINT LEO UNIVERSITY,St Leo University,164,1,lobbyingClients_training.csv,
Vinyl Institute,VINYL INST,162,1,lobbyingClients_training.csv,
ANCOR,American Network of Community Options & Resources,162,1,lobbyingClients_training.csv,
Seedco,SEEDCO FINANCIAL SERVICES INC,160,1,lobbyingClients_training.csv,
SANOFI PASTEUR,Pasteur Merieux Connaught,157,1,lobbyingClients_training.csv,name changed in 1999
National Alliance of Forest Owners,National Association of Forest Owners,156,1,lobbyingClients_training.csv,
Mitsubishi Motors North America,MITSUBISHI MOTORS AMERICA,156,1,lobbyingClients_training.csv,
NUCA,National Utility Contractors Assn,155,1,lobbyingClients_training.csv,
A H BELO CORPORATION,Bello Corp,154,1,lobbyingClients_training.csv,
EMBRAER SA,Embraer-Empresa Brasileira de Aeronautic,153,1,lobbyingClients_training.csv,
LAWRENCE COMMUNITY WORKS,Lawrence CommunityWorks                 ,150,1,lobbyingClients_training.csv,
National Tank Truck Carriers Inc,"National Tank Truck Carrier, Inc.",145,1,lobbyingClients_training.csv,
National Automatic Merchandising Association,National Automatic Merchandising Assn,144,1,lobbyingClients_training.csv,
BP America,BP Corporation North America Inc.,144,1,lobbyingClients_training.csv,
INTERMOUNTAIN HEALTHCARE,Intermountain Health Care,142,1,lobbyingClients_training.csv,
University of New Mexico,UNIV OF NEW MEXICO,142,1,lobbyingClients_training.csv,
New York Metro Transportation Authority,NEW YORK METROPOLITAN TRANSPORTATION AUTHORITY,141,1,lobbyingClients_training.csv,
Blood Center of Wisconsin,Bloodcenter of Wisconsin,140,1,lobbyingClients_training.csv,
Manor Healthcare,HCR-MANOR HEALTHCARE,140,1,lobbyingClients_training.csv,
Assurant Inc,ASSURANT HEALTH,138,1,lobbyingClients_training.csv,
Forest County Potawatomi Community,FOREST COUNTY POTAWATOMI,136,1,lobbyingClients_training.csv,
"National Stone, Sand & Gravel Assn",NATL STONE SAND & GRAVEL ASSN,132,1,lobbyingClients_training.csv,
America's Promise,America's Promise Alliance,132,1,lobbyingClients_training.csv,
Maui Land & Pineapple Co,MAUI PINEAPPLE CO,132,1,lobbyingClients_training.csv,
NAREIT,National Assn of Real Estate Investment Trusts,132,1,lobbyingClients_training.csv,
MAY DEPT STORES CO,May Department Stores,132,1,lobbyingClients_training.csv,
Discovery Science Center,Discovery Cube Orange County,131,1,lobbyingClients_training.csv,
LOS ANGELES COUNTY,"Los Angeles County, CA",130,1,lobbyingClients_training.csv,
KIRKPATRICK & LOCKHART PRESTON GATES ELLIS,K&L Gates,128,1,lobbyingClients_training.csv,
Fairchild Semiconductor,FAIRCHILD,128,1,lobbyingClients_training.csv,
Makah Indian Tribe,MAKAH TRIBAL COUNCIL,128,1,lobbyingClients_training.csv,
Tyco International,TYCO INTL,127,1,lobbyingClients_training.csv,
City of Houston Texas,"City of Houston, TX",126,1,lobbyingClients_training.csv,
ADLER PLANETARIUM,Adler Planetarium & Astronomy Museum,126,1,lobbyingClients_training.csv,
U S GREEN BUILDING COUNCIL,US Green Building Council,124,1,lobbyingClients_training.csv,
ATOFINA Chemicals,ATOFINA,124,1,lobbyingClients_training.csv,
Michigan Department of Transportation,Michigan Dept of Transportation,124,1,lobbyingClients_training.csv,
BAYSTATE HEALTH SYSTEM,Baystate Health Systems,121,1,lobbyingClients_training.csv,
BLUE CROSS & BLUE SHIELD ASSN,Blue Cross/Blue Shield,121,1,lobbyingClients_training.csv,
Securities Industry & Financial Mkt Assn,Securities Industry and Financial Market Association,120,1,lobbyingClients_training.csv,
Arc of the US,ARC OF THE UNITED STATES,120,1,lobbyingClients_training.csv,
GLOBAL BUSINESS TRAVEL ASSOCIATION,National Business Travel Assn,120,1,lobbyingClients_training.csv,
NATL ASSN FOR HOME CARE,National Assn for Home Care,120,1,lobbyingClients_training.csv,
"Preston, Gates et al",PRESTON GATES ELLIS & ROUVELAS MEEDS,119,1,lobbyingClients_training.csv,
KIRKPATRICK & LOCKHART PRESTON GATES ELLIS,"Preston, Gates et al",119,1,lobbyingClients_training.csv,
NACUBO,Natl Assn College/Univ Business Officers,119,1,lobbyingClients_training.csv,
ASSOCIATION FOR CAREER AND TECHNICAL EDUCATION,Assn for Career & Technical Education,119,1,lobbyingClients_training.csv,
Artspace,Artspace Projects,116,1,lobbyingClients_training.csv,
Westinghouse Electric,WASHINGTON GOVT SERVICES GROUP LLC,116,1,lobbyingClients_training.csv,
Toyota Motor Manufacturing,TOYOTA MOTOR MANUFACTURING NORTH AMERICA INC,115,1,lobbyingClients_training.csv,
"Seedco Financial Services, Inc.",Trufund Financial Services,115,0,lobbyingClients_training.csv,TruFund spun off in 2012
Shell Exploration & Production,"SHELL EXPLORATION AND PRODUCTION COMPANY, WESTERN HEMISPHERE",114,1,lobbyingClients_training.csv,
CONSUMER HEALTHCARE PRODUCTS ASSN,Nonprescription Drug Manufacturers Assn,111,1,lobbyingClients_training.csv,
Medstar Health,MEDSTAR,110,1,lobbyingClients_training.csv,
NewSchools Venture Fund,NEW SCHOOLS VENTURE FUND,108,1,lobbyingClients_training.csv,
International Assn of Fish & Wildlife Agencies,INTERNATIONAL ASSOCIATION OF FISH & WILDLIFE AGENCIES,108,1,lobbyingClients_training.csv,
Primerica Financial Services,"Primerica, Inc.",108,1,lobbyingClients_training.csv,
Ensco International Incorporated,Ensco Inc,106,1,lobbyingClients_training.csv,
City University of New York,CITY UNIV,106,0,lobbyingClients_training.csv,City Univ is ambigous
Oklahoma State University,OKLAHOMA STATE UNIV,105,1,lobbyingClients_training.csv,
St Joseph Health System,ST. Joseph Community Health Foundation,105,1,lobbyingClients_training.csv,
OSHKOSH CORPORATION,Oshkosh Truck Corp,104,1,lobbyingClients_training.csv,
Association of Oil Pipe Lines,ASSOCIATION OF OIL PIPELINES,102,1,lobbyingClients_training.csv,
Cancer Action Network,AMERICAN CANCER SOCIETY -- CANCER ACTION NETWORK,101,1,lobbyingClients_training.csv,
Kansas State University,KANSAS STATE UNIV,100,1,lobbyingClients_training.csv,
NORTHERN ESSEX COMMUNITY COLLEGE FOUNDATION,Northern Essex Community College,100,1,lobbyingClients_training.csv,
NATL CHICKEN COUNCIL,National Broiler Council,99,1,lobbyingClients_training.csv,name changed in 1999
NATL BROILER COUNCIL,National Broiler Council,99,1,lobbyingClients_training.csv,
"BOOZ ALLEN & HAMILTON, INC.",Booz Allen Hamilton,99,1,lobbyingClients_training.csv,
Washington State Farm Bureau,AMERICAN FARM BUREAU FEDERATION & WASHINGTON STATE FARM BUREAU,99,0,lobbyingClients_training.csv,Ambigous
Gundersen Health System,Gundersen Lutheran Medical Foundation,96,1,lobbyingClients_training.csv,
WL Gore & Assoc,W L GORE & ASSOCIATES,96,1,lobbyingClients_training.csv,
LAKE COUNTY,"Lake County, CA",90,1,lobbyingClients_training.csv,
US Public Interest Research Group,U S PUBLIC INTEREST RESEARCH GROUP,90,1,lobbyingClients_training.csv,
Deaconess Billings Clinic,BILLINGS CLINIC,90,1,lobbyingClients_training.csv,
NALCO CO,ONDEO Nalco,88,1,lobbyingClients_training.csv,
Lafarge North America,Lafarge North America - Aggregate & Concrete,87,1,lobbyingClients_training.csv,
LYONDELL CHEMICAL CO,Lyondell Petrochemical,87,1,lobbyingClients_training.csv,
University of North Texas,UNIV OF NORTH TEXAS,83,1,lobbyingClients_training.csv,
Chicago Board of Trade,CME Group formerly CHICAGO BOARD OF TRADE,82,1,lobbyingClients_training.csv,
Summa Health System,SUMMA HEALTH SYSTEMS,81,1,lobbyingClients_training.csv,
Equipment Dealers Assn,EQUIPMENT DEALERS ASSOCIATION,81,1,lobbyingClients_training.csv,
NORTH AMERICAN EQUIPMENT DEALERS ASSOCIATION,Equipment Dealers Assn,81,1,lobbyingClients_training.csv,
Catholic Health Association,Catholic Health Assn of the US,80,1,lobbyingClients_training.csv,
CATHOLIC HEALTH ASSOCIATION OF THE UNITED STATES,Catholic Health Assn of the US,80,1,lobbyingClients_training.csv,
WOMENS MUSEUM - AN INSTITUTE FOR THE FUTURE,Womens Museum,80,1,lobbyingClients_training.csv,
MANUFACTURED HOUSING INST,Manufactured Housing Institute,79,1,lobbyingClients_training.csv,
Prince William Sound Science Center,PRINCE WILLIAM SOUND RCAC,78,0,lobbyingClients_training.csv,
Florida Farm Bureau Federation,Florida Farm Bureau,78,1,lobbyingClients_training.csv,
CSX Corp,CSX RAILROAD CORP,77,1,lobbyingClients_training.csv,
Children's Hospital and Research Center,Children's Hospital/Research Ctr Oakland,76,1,lobbyingClients_training.csv,
AMS,American Management Systems,75,1,lobbyingClients_training.csv,
Asian & Pacific Islander American Health Forum,Asian/Pacific Islander Amer Health Forum,74,1,lobbyingClients_training.csv,
Asian Pacific Islander American Health Forum,Asian/Pacific Islander Amer Health Forum,74,1,lobbyingClients_training.csv,
National Patient Advocate Foundation,NATL PATIENT ADVOCATE FOUNDATION,73,1,lobbyingClients_training.csv,
NATL ASSN OF LETTER CARRIERS,National Assn of Letter Carriers,72,1,lobbyingClients_training.csv,
Melanoma Research Alliance,Melanoma Research Foundation,72,1,lobbyingClients_training.csv,
CLARK COUNTY DEPARTMENT OF AVIATION,Clark Cnty Dept/Aviation/McCarran Arpt,72,1,lobbyingClients_training.csv,
Istanbul Mineral & Metals Exporters Assn,ISTANBUL MINERAL AND METALS EXPORTERS ASSOCIATION,72,1,lobbyingClients_training.csv,
Schwab,Charles Schwab Corp,72,1,lobbyingClients_training.csv,
Bombardier Inc,BOMBARDIER TRANSIT CORPORATION,70,1,lobbyingClients_training.csv,
CHILDRENS TUMOR FOUNDATION,Neurofibromatosis Foundation,70,0,lobbyingClients_training.csv,
Catholic Charities Archdiocese of New Orleans,Catholic Charities/New Orleans,68,1,lobbyingClients_training.csv,
INTL BOTTLED WATER ASSN,International Bottled Water Assn,66,1,lobbyingClients_training.csv,
TELECOMMUNICATIONS INC,TCI Communications,66,1,lobbyingClients_training.csv,
NATL GRID,National Grid USA,66,1,lobbyingClients_training.csv,
"Arysta LifeScience North America, LLC",Arysta Life Sciences,66,1,lobbyingClients_training.csv,
SAINT JOSEPH HOSPITAL FOUNDATION,St Joseph Hospital Foundation,66,1,lobbyingClients_training.csv,
International Bottled Water Association,International Bottled Water Assn,66,1,lobbyingClients_training.csv,
SC Johnson & Son,SC JOHNSON WAX,66,1,lobbyingClients_training.csv,
Sisters of Mercy Health System,Sisters of Mercy Healthcare,65,1,lobbyingClients_training.csv,
Novozymes North America,NOVOZYMES,64,1,lobbyingClients_training.csv,
Kansas Corn Growers Association,Kansas Corn Growers Assn,64,1,lobbyingClients_training.csv,
AG BIOTECH ALLIANCE,AgBiotech Planning Cmte,63,0,lobbyingClients_training.csv,Unclear
AgBiotech Planning Cmte,AGBIOTECH PLANNING COMMITTEE,63,1,lobbyingClients_training.csv,
ALLIANCE FOR QUALITY NURSING HOME CARE,Allion Healthcare,63,1,lobbyingClients_training.csv,
AON RISK SERVICES,AON Corp,63,1,lobbyingClients_training.csv,
Schering-Plough Corp,Schering-Plough Products,62,1,lobbyingClients_training.csv,
PPL Corp,PP&L,60,1,lobbyingClients_training.csv,
Atlantic Health,Atlantic Health System,60,1,lobbyingClients_training.csv,
Wendy's Co,Wendys Arbys Group,60,1,lobbyingClients_training.csv,Arby's spunoff in 2011
Medical Device Manufacturers Assn,MEDICAL DEVICE MANUFACTURING ASSOCIATION,59,1,lobbyingClients_training.csv,
WhiteWave Foods,WHITE WAVE FOODS COMPANY,58,1,lobbyingClients_training.csv,
Fresenius Medical Care North America,Fresenius,58,1,lobbyingClients_training.csv,
Veterans of Foreign Wars,VETERANS OF FOREIGN WARS OF THE UNITED STATES,57,1,lobbyingClients_training.csv,
DOMINICAN COLLEGE OF BLAUVELT,Dominican College,56,1,lobbyingClients_training.csv,
Le Moyne College,LeMoyne College,56,1,lobbyingClients_training.csv,
Illinois Homecare & Hospice Council,Illinois HomeCare Council,56,1,lobbyingClients_training.csv,
"Takeda Pharmaceuticals U.S.A., Inc.",Takeda Pharmaceuticals North America,56,1,lobbyingClients_training.csv,
Hebrew Immigrant Aid Society,HIAS,55,1,lobbyingClients_training.csv,
Alexian Brothers Hospital Network,Alexian Brothers Health System,55,1,lobbyingClients_training.csv,
Crowder College,CROWDER COLLEGE FOUNDATION,55,1,lobbyingClients_training.csv,
Prevent Blindness America,PREVENT BLINDNESS,54,1,lobbyingClients_training.csv,
Enron Corp,ENRON OIL & GAS CO,54,1,lobbyingClients_training.csv,
Sasol North America,Sasol,54,1,lobbyingClients_training.csv,
RPM INC,RPM International,54,1,lobbyingClients_training.csv,
Children's Hospital of Alabama,CHILDRENS HEALTH SYSTEMS,54,1,lobbyingClients_training.csv,
MYLAN LABS,Mylan Laboratories,53,1,lobbyingClients_training.csv,
National Association of Public Hospitals,Natl Assn of Public Hosp & Health Sys,53,1,lobbyingClients_training.csv,
United States Association of Importers of Textiles and Apparel,US Fashion Industry Assn,52,1,lobbyingClients_training.csv,
U.S. Fashion Industry Association,US Fashion Industry Assn,52,1,lobbyingClients_training.csv,
CHILDREN'S MEMORIAL HOSPITAL,Lurie Children's Hospital of Chicago,51,1,lobbyingClients_training.csv,
COOPER'S FERRY DEVELOPMENT ASSOCIATION,Coopers Ferry Development Assn,51,1,lobbyingClients_training.csv,
"City of San Antonio, Texas","City of San Antonio, TX",50,1,lobbyingClients_training.csv,
American Academy of Nurse Practitioners,AANP,50,1,lobbyingClients_training.csv,
ENSTAR NATURAL GAS CO,Enstar Inc,50,1,lobbyingClients_training.csv,
WATER ENVIRONMENT FEDERATION,Water Environment Research Foundation   ,50,1,lobbyingClients_training.csv,
Countrywide,Countrywide Financial,49,1,lobbyingClients_training.csv,
PARSONS TRANSPORTATION CORP,Parsons Corp,48,1,lobbyingClients_training.csv,
AVIS RENT-A-CAR SYSTEM INC,Avis Rent-A-Car,48,1,lobbyingClients_training.csv,
Meritor WABCO,WABCO,48,1,lobbyingClients_training.csv,
"Womble, Carlyle et al",WOMBLE CARLYLE SANDRIDGE & RICE,48,1,lobbyingClients_training.csv,
Adamis Pharmaceuticals Corporation,Adamas Pharmaceuticals,48,1,lobbyingClients_training.csv,
CRANE CO,Crane & Co,48,1,lobbyingClients_training.csv,
NATL SMALL BUSINESS ASSN,National Small Business United,46,1,lobbyingClients_training.csv,
NATL SMALL BUSINESS ASSN,National Small Business Assn,46,1,lobbyingClients_training.csv,
NATL SMALL BUSINESS UNITED,National Small Business United,46,1,lobbyingClients_training.csv,
CENTER FOR EMERGING TECHNOLOGY,Center for Emerging Technologies,46,1,lobbyingClients_training.csv,
Jackson Memorial Hospital,JACKSON HEALTH SYSTEM,46,1,lobbyingClients_training.csv,
Navajo Nation Council,Navajo Nation,46,1,lobbyingClients_training.csv,
COUNTY OF SAN DIEGO,"San Diego County, CA",46,1,lobbyingClients_training.csv,
"GENCORP, INC",Aerojet-General Corp,46,1,lobbyingClients_training.csv,Unclear
Pacific Seafood Processors Association,Pacific Seafood Processors Assn,45,1,lobbyingClients_training.csv,
CONSUMERS UNION OF UNITED STATES INC,Consumers Union of the US,45,1,lobbyingClients_training.csv,
East Stroudsburg University,EAST STROUDSBURG UNIVERSITY FOUNDATION,45,1,lobbyingClients_training.csv,
Christopher & Dana Reeve Foundation,CHRISTOPHER REEVE FOUNDATION A NEW JERSEY NONPROFIT CORPORATION,45,1,lobbyingClients_training.csv,
MBTA,Massachusetts Bay Trans Authority,44,1,lobbyingClients_training.csv,
RIVERLIFE TASK FORCE,Riverlife,44,1,lobbyingClients_training.csv,
City of Glendale,"City of Glendale, AZ",44,1,lobbyingClients_training.csv,
American Assn of Neurological Surgeons,AMERICAN ASSOCIATION OF NEUROLOGICAL SURGEONS,44,1,lobbyingClients_training.csv,
Geisinger Health System Foundation,Geisinger Health Systems Foundation,43,1,lobbyingClients_training.csv,
National Tooling & Machining Assn,NATL TOOLING & MACHINING ASSN,42,1,lobbyingClients_training.csv,
CDTi,Clean Diesel Technologies Inc,42,1,lobbyingClients_training.csv,
MRIGlobal,MIDWEST RESEARCH INSTITUTE,42,1,lobbyingClients_training.csv,
National Assn of State Energy Officials,NATIONAL ASSOCIATION OF STATE ENERGY OFFICIALS,42,1,lobbyingClients_training.csv,
FRIENDS OF CLEVELAND SCHOOL OF THE ARTS,Friends of the Cleveland School of Arts,40,1,lobbyingClients_training.csv,
FRIENDS OF THE CLEVELAND SCHOOL OF THE ARTS,Friends of the Cleveland School of Arts,40,1,lobbyingClients_training.csv,
PricewaterhouseCoopers,COOPERS & LYBRAND,40,1,lobbyingClients_training.csv,Merged in 1998
PricewaterhouseCoopers,PRICE WATERHOUSE COOPERS,40,1,lobbyingClients_training.csv,
PricewaterhouseCoopers,PricewaterhouseCooper LLP,40,1,lobbyingClients_training.csv,
Precision Machined Products Association,Precision Machined Products Assn,40,1,lobbyingClients_training.csv,
CENTERPOINT INC,Center Point Inc,40,1,lobbyingClients_training.csv,
Cameron International Corp,CAMERON INTL CORP,40,1,lobbyingClients_training.csv,
NATL ASSN OF STATE UNIVERSITIES & LAND-GRANT COLLEGES,National Assn/State Directors of Career Tech Educ,40,0,lobbyingClients_training.csv,Reviewed to HERE
